age,education,occupation,relationship,sex,native-country,salary-class
"[50, 60[",Graduate,?,Not-in-family,Female,United-States,<=50K
"[50, 60[",Graduate,?,Not-in-family,Female,United-States,>50K
"[50, 60[",Graduate,?,Not-in-family,Female,United-States,>50K
"[60, 70[",Graduate,?,Not-in-family,Female,United-States,<=50K
"[60, 70[",Graduate,?,Not-in-family,Female,United-States,<=50K
"[60, 70[",Graduate,?,Not-in-family,Female,United-States,<=50K
"[40, 50[",Graduate,?,Wife,Female,United-States,<=50K
"[40, 50[",Graduate,?,Wife,Female,United-States,>50K
"[30, 40[",Graduate,?,Husband,Male,United-States,<=50K
"[30, 40[",Graduate,?,Husband,Male,United-States,>50K
"[40, 50[",Graduate,?,Husband,Male,United-States,<=50K
"[40, 50[",Graduate,?,Husband,Male,United-States,<=50K
"[40, 50[",Graduate,?,Husband,Male,United-States,>50K
"[50, 60[",Graduate,?,Husband,Male,United-States,<=50K
"[50, 60[",Graduate,?,Husband,Male,United-States,>50K
"[50, 60[",Graduate,?,Husband,Male,United-States,<=50K
"[50, 60[",Graduate,?,Husband,Male,United-States,>50K
"[50, 60[",Graduate,?,Husband,Male,United-States,>50K
"[50, 60[",Graduate,?,Husband,Male,United-States,>50K
"[50, 60[",Graduate,?,Husband,Male,United-States,<=50K
"[60, 70[",Graduate,?,Husband,Male,United-States,<=50K
"[60, 70[",Graduate,?,Husband,Male,United-States,<=50K
"[60, 70[",Graduate,?,Husband,Male,United-States,<=50K
"[60, 70[",Graduate,?,Husband,Male,United-States,<=50K
"[60, 70[",Graduate,?,Husband,Male,United-States,<=50K
"[60, 70[",Graduate,?,Husband,Male,United-States,>50K
"[60, 70[",Graduate,?,Husband,Male,United-States,>50K
"[60, 70[",Graduate,?,Husband,Male,United-States,>50K
"[60, 70[",Graduate,?,Husband,Male,United-States,>50K
"[60, 70[",Graduate,?,Husband,Male,United-States,<=50K
"[60, 70[",Graduate,?,Husband,Male,United-States,>50K
"[60, 70[",Graduate,?,Husband,Male,United-States,>50K
"[60, 70[",Graduate,?,Husband,Male,United-States,<=50K
"[60, 70[",Graduate,?,Husband,Male,United-States,>50K
"[60, 70[",Graduate,?,Husband,Male,United-States,>50K
"[60, 70[",Graduate,?,Husband,Male,United-States,>50K
"[60, 70[",Graduate,?,Husband,Male,United-States,<=50K
"[70, 80[",Graduate,?,Husband,Male,United-States,<=50K
"[70, 80[",Graduate,?,Husband,Male,United-States,>50K
"[70, 80[",Graduate,?,Husband,Male,United-States,>50K
"[70, 80[",Graduate,?,Husband,Male,United-States,>50K
"[70, 80[",Graduate,?,Husband,Male,United-States,>50K
"[70, 80[",Graduate,?,Husband,Male,United-States,>50K
"[50, 60[",Graduate,?,Not-in-family,Male,United-States,<=50K
"[50, 60[",Graduate,?,Not-in-family,Male,United-States,>50K
"[70, 80[",Graduate,?,Not-in-family,Male,United-States,<=50K
"[70, 80[",Graduate,?,Not-in-family,Male,United-States,<=50K
"[20, 30[",Graduate,Adm-clerical,Not-in-family,Female,United-States,<=50K
"[20, 30[",Graduate,Adm-clerical,Not-in-family,Female,United-States,<=50K
"[30, 40[",Graduate,Adm-clerical,Not-in-family,Female,United-States,<=50K
"[30, 40[",Graduate,Adm-clerical,Not-in-family,Female,United-States,<=50K
"[30, 40[",Graduate,Adm-clerical,Not-in-family,Female,United-States,<=50K
"[30, 40[",Graduate,Adm-clerical,Not-in-family,Female,United-States,<=50K
"[30, 40[",Graduate,Adm-clerical,Not-in-family,Female,United-States,<=50K
"[30, 40[",Graduate,Adm-clerical,Not-in-family,Female,United-States,<=50K
"[40, 50[",Graduate,Adm-clerical,Not-in-family,Female,United-States,<=50K
"[40, 50[",Graduate,Adm-clerical,Not-in-family,Female,United-States,<=50K
"[40, 50[",Graduate,Adm-clerical,Not-in-family,Female,United-States,<=50K
"[40, 50[",Graduate,Adm-clerical,Not-in-family,Female,United-States,<=50K
"[50, 60[",Graduate,Adm-clerical,Not-in-family,Female,United-States,>50K
"[50, 60[",Graduate,Adm-clerical,Not-in-family,Female,United-States,<=50K
"[50, 60[",Graduate,Adm-clerical,Not-in-family,Female,United-States,>50K
"[60, 70[",Graduate,Adm-clerical,Not-in-family,Female,United-States,<=50K
"[60, 70[",Graduate,Adm-clerical,Not-in-family,Female,United-States,<=50K
"[30, 40[",Graduate,Adm-clerical,Unmarried,Female,United-States,<=50K
"[30, 40[",Graduate,Adm-clerical,Unmarried,Female,United-States,<=50K
"[50, 60[",Graduate,Adm-clerical,Unmarried,Female,United-States,<=50K
"[50, 60[",Graduate,Adm-clerical,Unmarried,Female,United-States,<=50K
"[30, 40[",Graduate,Adm-clerical,Husband,Male,United-States,<=50K
"[30, 40[",Graduate,Adm-clerical,Husband,Male,United-States,<=50K
"[30, 40[",Graduate,Adm-clerical,Husband,Male,United-States,<=50K
"[30, 40[",Graduate,Adm-clerical,Husband,Male,United-States,>50K
"[30, 40[",Graduate,Adm-clerical,Husband,Male,United-States,>50K
"[30, 40[",Graduate,Adm-clerical,Husband,Male,United-States,>50K
"[40, 50[",Graduate,Adm-clerical,Husband,Male,United-States,<=50K
"[40, 50[",Graduate,Adm-clerical,Husband,Male,United-States,>50K
"[40, 50[",Graduate,Adm-clerical,Husband,Male,United-States,<=50K
"[40, 50[",Graduate,Adm-clerical,Husband,Male,United-States,<=50K
"[40, 50[",Graduate,Adm-clerical,Husband,Male,United-States,>50K
"[40, 50[",Graduate,Adm-clerical,Husband,Male,United-States,>50K
"[40, 50[",Graduate,Adm-clerical,Husband,Male,United-States,>50K
"[40, 50[",Graduate,Adm-clerical,Husband,Male,United-States,>50K
"[40, 50[",Graduate,Adm-clerical,Husband,Male,United-States,<=50K
"[40, 50[",Graduate,Adm-clerical,Husband,Male,United-States,>50K
"[40, 50[",Graduate,Adm-clerical,Husband,Male,United-States,<=50K
"[50, 60[",Graduate,Adm-clerical,Husband,Male,United-States,<=50K
"[50, 60[",Graduate,Adm-clerical,Husband,Male,United-States,>50K
"[50, 60[",Graduate,Adm-clerical,Husband,Male,United-States,>50K
"[50, 60[",Graduate,Adm-clerical,Husband,Male,United-States,>50K
"[50, 60[",Graduate,Adm-clerical,Husband,Male,United-States,>50K
"[50, 60[",Graduate,Adm-clerical,Husband,Male,United-States,>50K
"[30, 40[",Graduate,Adm-clerical,Not-in-family,Male,United-States,<=50K
"[30, 40[",Graduate,Adm-clerical,Not-in-family,Male,United-States,<=50K
"[30, 40[",Graduate,Adm-clerical,Not-in-family,Male,United-States,>50K
"[40, 50[",Graduate,Adm-clerical,Not-in-family,Male,United-States,<=50K
"[40, 50[",Graduate,Adm-clerical,Not-in-family,Male,United-States,<=50K
"[40, 50[",Graduate,Adm-clerical,Not-in-family,Male,United-States,<=50K
"[20, 30[",Graduate,Adm-clerical,Own-child,Male,United-States,<=50K
"[20, 30[",Graduate,Adm-clerical,Own-child,Male,United-States,<=50K
"[20, 30[",Graduate,Adm-clerical,Own-child,Male,United-States,<=50K
"[30, 40[",Graduate,Craft-repair,Husband,Male,United-States,<=50K
"[30, 40[",Graduate,Craft-repair,Husband,Male,United-States,>50K
"[30, 40[",Graduate,Craft-repair,Husband,Male,United-States,>50K
"[40, 50[",Graduate,Craft-repair,Husband,Male,United-States,<=50K
"[40, 50[",Graduate,Craft-repair,Husband,Male,United-States,<=50K
"[40, 50[",Graduate,Craft-repair,Husband,Male,United-States,<=50K
"[40, 50[",Graduate,Craft-repair,Husband,Male,United-States,<=50K
"[40, 50[",Graduate,Craft-repair,Husband,Male,United-States,>50K
"[40, 50[",Graduate,Craft-repair,Husband,Male,United-States,>50K
"[50, 60[",Graduate,Craft-repair,Husband,Male,United-States,>50K
"[50, 60[",Graduate,Craft-repair,Husband,Male,United-States,>50K
"[50, 60[",Graduate,Craft-repair,Husband,Male,United-States,>50K
"[50, 60[",Graduate,Craft-repair,Husband,Male,United-States,>50K
"[50, 60[",Graduate,Craft-repair,Husband,Male,United-States,>50K
"[30, 40[",Graduate,Exec-managerial,Husband,Male,?,<=50K
"[30, 40[",Graduate,Exec-managerial,Husband,Male,?,<=50K
"[30, 40[",Graduate,Exec-managerial,Husband,Male,?,>50K
"[40, 50[",Graduate,Exec-managerial,Husband,Male,?,>50K
"[40, 50[",Graduate,Exec-managerial,Husband,Male,?,>50K
"[40, 50[",Graduate,Exec-managerial,Husband,Male,?,>50K
"[30, 40[",Graduate,Exec-managerial,Husband,Male,Cuba,>50K
"[30, 40[",Graduate,Exec-managerial,Husband,Male,Cuba,>50K
"[40, 50[",Graduate,Exec-managerial,Husband,Male,England,>50K
"[40, 50[",Graduate,Exec-managerial,Husband,Male,England,>50K
"[30, 40[",Graduate,Exec-managerial,Husband,Male,France,<=50K
"[30, 40[",Graduate,Exec-managerial,Husband,Male,France,>50K
"[50, 60[",Graduate,Exec-managerial,Husband,Male,Greece,>50K
"[50, 60[",Graduate,Exec-managerial,Husband,Male,Greece,>50K
"[40, 50[",Graduate,Exec-managerial,Husband,Male,India,<=50K
"[40, 50[",Graduate,Exec-managerial,Husband,Male,India,>50K
"[40, 50[",Graduate,Exec-managerial,Husband,Male,India,>50K
"[40, 50[",Graduate,Exec-managerial,Husband,Male,Japan,>50K
"[40, 50[",Graduate,Exec-managerial,Husband,Male,Japan,>50K
"[40, 50[",Graduate,Exec-managerial,Husband,Male,Japan,>50K
"[50, 60[",Graduate,Exec-managerial,Husband,Male,Philippines,<=50K
"[50, 60[",Graduate,Exec-managerial,Husband,Male,Philippines,>50K
"[30, 40[",Graduate,Exec-managerial,Husband,Male,Taiwan,>50K
"[30, 40[",Graduate,Exec-managerial,Husband,Male,Taiwan,>50K
"[30, 40[",Graduate,Exec-managerial,Husband,Male,Taiwan,>50K
"[20, 30[",Graduate,Exec-managerial,Not-in-family,Female,United-States,<=50K
"[20, 30[",Graduate,Exec-managerial,Not-in-family,Female,United-States,<=50K
