age,education,occupation,relationship,sex,native-country,salary-class
50,Graduate,Nontechnical,Not-in-family,Female,United-States,<=50K
50,Graduate,Nontechnical,Not-in-family,Female,United-States,>50K
50,Graduate,Nontechnical,Not-in-family,Female,United-States,>50K
50,Graduate,Nontechnical,Not-in-family,Female,United-States,<=50K
50,Graduate,Nontechnical,Not-in-family,Female,United-States,<=50K
50,Graduate,Nontechnical,Not-in-family,Female,United-States,<=50K
44,Graduate,Nontechnical,Unmarried,Female,United-States,<=50K
44,Graduate,Nontechnical,Unmarried,Female,United-States,<=50K
44,Graduate,Nontechnical,Unmarried,Female,United-States,<=50K
44,Graduate,Nontechnical,Unmarried,Female,United-States,<=50K
44,Graduate,Nontechnical,Unmarried,Female,United-States,<=50K
26,Graduate,Technical,Not-in-family,Female,United-States,<=50K
26,Graduate,Technical,Not-in-family,Female,United-States,<=50K
26,Graduate,Technical,Not-in-family,Female,United-States,<=50K
26,Graduate,Technical,Not-in-family,Female,United-States,<=50K
26,Graduate,Technical,Not-in-family,Female,United-States,<=50K
26,Graduate,Technical,Not-in-family,Female,United-States,<=50K
26,Graduate,Technical,Not-in-family,Female,United-States,<=50K
26,Graduate,Technical,Not-in-family,Female,United-States,<=50K
29,Graduate,Technical,Not-in-family,Female,United-States,<=50K
29,Graduate,Technical,Not-in-family,Female,United-States,<=50K
29,Graduate,Technical,Not-in-family,Female,United-States,<=50K
29,Graduate,Technical,Not-in-family,Female,United-States,<=50K
29,Graduate,Technical,Not-in-family,Female,United-States,>50K
32,Graduate,Technical,Not-in-family,Female,United-States,<=50K
32,Graduate,Technical,Not-in-family,Female,United-States,<=50K
32,Graduate,Technical,Not-in-family,Female,United-States,<=50K
32,Graduate,Technical,Not-in-family,Female,United-States,<=50K
32,Graduate,Technical,Not-in-family,Female,United-States,<=50K
34,Graduate,Technical,Not-in-family,Female,United-States,<=50K
34,Graduate,Technical,Not-in-family,Female,United-States,<=50K
34,Graduate,Technical,Not-in-family,Female,United-States,>50K
34,Graduate,Technical,Not-in-family,Female,United-States,<=50K
34,Graduate,Technical,Not-in-family,Female,United-States,<=50K
34,Graduate,Technical,Not-in-family,Female,United-States,<=50K
34,Graduate,Technical,Not-in-family,Female,United-States,<=50K
34,Graduate,Technical,Not-in-family,Female,United-States,>50K
39,Graduate,Technical,Not-in-family,Female,United-States,<=50K
39,Graduate,Technical,Not-in-family,Female,United-States,<=50K
39,Graduate,Technical,Not-in-family,Female,United-States,>50K
39,Graduate,Technical,Not-in-family,Female,United-States,<=50K
39,Graduate,Technical,Not-in-family,Female,United-States,<=50K
39,Graduate,Technical,Not-in-family,Female,United-States,>50K
39,Graduate,Technical,Not-in-family,Female,United-States,<=50K
41,Graduate,Technical,Not-in-family,Female,United-States,<=50K
41,Graduate,Technical,Not-in-family,Female,United-States,<=50K
41,Graduate,Technical,Not-in-family,Female,United-States,<=50K
41,Graduate,Technical,Not-in-family,Female,United-States,>50K
41,Graduate,Technical,Not-in-family,Female,United-States,<=50K
41,Graduate,Technical,Not-in-family,Female,United-States,<=50K
41,Graduate,Technical,Not-in-family,Female,United-States,>50K
42,Graduate,Technical,Not-in-family,Female,United-States,<=50K
42,Graduate,Technical,Not-in-family,Female,United-States,<=50K
42,Graduate,Technical,Not-in-family,Female,United-States,<=50K
42,Graduate,Technical,Not-in-family,Female,United-States,<=50K
42,Graduate,Technical,Not-in-family,Female,United-States,>50K
42,Graduate,Technical,Not-in-family,Female,United-States,<=50K
42,Graduate,Technical,Not-in-family,Female,United-States,<=50K
42,Graduate,Technical,Not-in-family,Female,United-States,>50K
42,Graduate,Technical,Not-in-family,Female,United-States,>50K
42,Graduate,Technical,Not-in-family,Female,United-States,<=50K
44,Graduate,Technical,Not-in-family,Female,United-States,<=50K
44,Graduate,Technical,Not-in-family,Female,United-States,<=50K
44,Graduate,Technical,Not-in-family,Female,United-States,<=50K
44,Graduate,Technical,Not-in-family,Female,United-States,<=50K
44,Graduate,Technical,Not-in-family,Female,United-States,<=50K
44,Graduate,Technical,Not-in-family,Female,United-States,<=50K
45,Graduate,Technical,Not-in-family,Female,United-States,<=50K
45,Graduate,Technical,Not-in-family,Female,United-States,<=50K
45,Graduate,Technical,Not-in-family,Female,United-States,<=50K
45,Graduate,Technical,Not-in-family,Female,United-States,<=50K
45,Graduate,Technical,Not-in-family,Female,United-States,<=50K
45,Graduate,Technical,Not-in-family,Female,United-States,<=50K
45,Graduate,Technical,Not-in-family,Female,United-States,<=50K
45,Graduate,Technical,Not-in-family,Female,United-States,<=50K
46,Graduate,Technical,Not-in-family,Female,United-States,<=50K
46,Graduate,Technical,Not-in-family,Female,United-States,<=50K
46,Graduate,Technical,Not-in-family,Female,United-States,<=50K
46,Graduate,Technical,Not-in-family,Female,United-States,<=50K
46,Graduate,Technical,Not-in-family,Female,United-States,>50K
46,Graduate,Technical,Not-in-family,Female,United-States,>50K
46,Graduate,Technical,Not-in-family,Female,United-States,<=50K
45,Graduate,Technical,Unmarried,Female,United-States,<=50K
45,Graduate,Technical,Unmarried,Female,United-States,<=50K
45,Graduate,Technical,Unmarried,Female,United-States,<=50K
45,Graduate,Technical,Unmarried,Female,United-States,<=50K
45,Graduate,Technical,Unmarried,Female,United-States,>50K
47,Graduate,Technical,Unmarried,Female,United-States,<=50K
47,Graduate,Technical,Unmarried,Female,United-States,>50K
47,Graduate,Technical,Unmarried,Female,United-States,<=50K
47,Graduate,Technical,Unmarried,Female,United-States,<=50K
47,Graduate,Technical,Unmarried,Female,United-States,<=50K
49,Graduate,Technical,Unmarried,Female,United-States,<=50K
49,Graduate,Technical,Unmarried,Female,United-States,>50K
49,Graduate,Technical,Unmarried,Female,United-States,<=50K
49,Graduate,Technical,Unmarried,Female,United-States,<=50K
49,Graduate,Technical,Unmarried,Female,United-States,<=50K
39,Graduate,Technical,Not-in-family,Male,United-States,<=50K
39,Graduate,Technical,Not-in-family,Male,United-States,<=50K
39,Graduate,Technical,Not-in-family,Male,United-States,>50K
39,Graduate,Technical,Not-in-family,Male,United-States,<=50K
39,Graduate,Technical,Not-in-family,Male,United-States,<=50K
39,Graduate,Technical,Not-in-family,Male,United-States,>50K
39,Graduate,Technical,Not-in-family,Male,United-States,<=50K
40,Graduate,Technical,Not-in-family,Male,United-States,<=50K
40,Graduate,Technical,Not-in-family,Male,United-States,<=50K
40,Graduate,Technical,Not-in-family,Male,United-States,>50K
40,Graduate,Technical,Not-in-family,Male,United-States,<=50K
40,Graduate,Technical,Not-in-family,Male,United-States,<=50K
18,High School,Nontechnical,Not-in-family,Female,United-States,<=50K
18,High School,Nontechnical,Not-in-family,Female,United-States,<=50K
18,High School,Nontechnical,Not-in-family,Female,United-States,<=50K
18,High School,Nontechnical,Not-in-family,Female,United-States,<=50K
18,High School,Nontechnical,Not-in-family,Female,United-States,<=50K
19,High School,Nontechnical,Not-in-family,Female,United-States,<=50K
19,High School,Nontechnical,Not-in-family,Female,United-States,<=50K
19,High School,Nontechnical,Not-in-family,Female,United-States,<=50K
19,High School,Nontechnical,Not-in-family,Female,United-States,<=50K
19,High School,Nontechnical,Not-in-family,Female,United-States,<=50K
19,High School,Nontechnical,Not-in-family,Female,United-States,<=50K
