age,education,occupation,relationship,sex,native-country,salary-class
42,Higher education,Nontechnical,Husband,Male,?,>50K
42,Higher education,Nontechnical,Husband,Male,?,>50K
42,Higher education,Nontechnical,Husband,Male,?,>50K
42,Higher education,Nontechnical,Husband,Male,?,<=50K
42,Higher education,Nontechnical,Husband,Male,?,>50K
42,Higher education,Nontechnical,Husband,Male,?,<=50K
19,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
19,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
19,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
19,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
19,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
19,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
19,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
20,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
20,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
20,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
20,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
20,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
20,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
20,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
20,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
20,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
20,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
20,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
20,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
21,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
21,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
21,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
21,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
21,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
22,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
22,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
22,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
22,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
22,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
22,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
22,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
22,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
22,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
22,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
22,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
22,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
22,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
22,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
22,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
22,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
22,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
22,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
23,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
23,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
23,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
23,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
23,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
23,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
23,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
23,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
23,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
23,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
23,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
23,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
23,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
23,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
23,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
23,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
23,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
23,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
23,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
23,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
23,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
24,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
24,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
24,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
24,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
24,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
24,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
24,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
24,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
24,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
24,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
24,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
24,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
24,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
24,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
26,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
26,Higher education,Nontechnical,Not-in-family,Female,United-States,<=50K
