age,education,occupation,relationship,sex,native-country,salary-class
"[40, 80[",Graduate,Nontechnical,Husband,Male,?,>50K
"[40, 80[",Graduate,Nontechnical,Husband,Male,?,>50K
"[40, 80[",Graduate,Nontechnical,Husband,Male,?,>50K
"[40, 80[",Graduate,Nontechnical,Husband,Male,?,>50K
"[40, 80[",Graduate,Nontechnical,Husband,Male,?,<=50K
"[40, 80[",Graduate,Nontechnical,Husband,Male,?,>50K
"[40, 80[",Graduate,Nontechnical,Husband,Male,?,>50K
"[0, 40[",Graduate,Nontechnical,Not-in-family,Female,United-States,<=50K
"[0, 40[",Graduate,Nontechnical,Not-in-family,Female,United-States,<=50K
"[0, 40[",Graduate,Nontechnical,Not-in-family,Female,United-States,<=50K
"[0, 40[",Graduate,Nontechnical,Not-in-family,Female,United-States,<=50K
"[0, 40[",Graduate,Nontechnical,Not-in-family,Female,United-States,<=50K
"[0, 40[",Graduate,Nontechnical,Not-in-family,Female,United-States,<=50K
"[0, 40[",Graduate,Nontechnical,Not-in-family,Female,United-States,<=50K
"[0, 40[",Graduate,Nontechnical,Not-in-family,Female,United-States,<=50K
"[0, 40[",Graduate,Nontechnical,Not-in-family,Female,United-States,>50K
"[0, 40[",Graduate,Nontechnical,Not-in-family,Female,United-States,<=50K
"[0, 40[",Graduate,Nontechnical,Not-in-family,Female,United-States,<=50K
"[0, 40[",Graduate,Nontechnical,Not-in-family,Female,United-States,<=50K
"[0, 40[",Graduate,Nontechnical,Not-in-family,Female,United-States,<=50K
"[0, 40[",Graduate,Nontechnical,Not-in-family,Female,United-States,>50K
"[0, 40[",Graduate,Nontechnical,Not-in-family,Female,United-States,>50K
"[0, 40[",Graduate,Nontechnical,Not-in-family,Female,United-States,<=50K
"[0, 40[",Graduate,Nontechnical,Not-in-family,Female,United-States,>50K
"[0, 40[",Graduate,Nontechnical,Not-in-family,Female,United-States,<=50K
"[0, 40[",Graduate,Nontechnical,Not-in-family,Female,United-States,<=50K
"[0, 40[",Graduate,Nontechnical,Not-in-family,Female,United-States,>50K
"[0, 40[",Graduate,Nontechnical,Not-in-family,Female,United-States,>50K
"[0, 40[",Graduate,Nontechnical,Not-in-family,Female,United-States,>50K
"[0, 40[",Graduate,Nontechnical,Not-in-family,Female,United-States,<=50K
"[40, 80[",Graduate,Nontechnical,Not-in-family,Female,United-States,<=50K
"[40, 80[",Graduate,Nontechnical,Not-in-family,Female,United-States,<=50K
"[40, 80[",Graduate,Nontechnical,Not-in-family,Female,United-States,<=50K
"[40, 80[",Graduate,Nontechnical,Not-in-family,Female,United-States,>50K
"[40, 80[",Graduate,Nontechnical,Not-in-family,Female,United-States,>50K
"[40, 80[",Graduate,Nontechnical,Not-in-family,Female,United-States,<=50K
"[40, 80[",Graduate,Nontechnical,Not-in-family,Female,United-States,>50K
"[40, 80[",Graduate,Nontechnical,Not-in-family,Female,United-States,>50K
"[40, 80[",Graduate,Nontechnical,Not-in-family,Female,United-States,>50K
"[40, 80[",Graduate,Nontechnical,Not-in-family,Female,United-States,<=50K
"[40, 80[",Graduate,Nontechnical,Not-in-family,Female,United-States,<=50K
